height,D_DT_geo
88183.33,22957.66
87625.91,23073.94
87092.27,22095.99
86539.47,22895.61
85965.90,23762.61
85433.54,22061.29
84869.85,23366.52
84303.90,23466.82
83760.12,22554.04
83183.05,23941.20
82645.02,22328.52
82101.39,22566.69
81531.39,23668.15
80997.98,22155.37
80403.00,24719.26
79889.65,21334.57
79330.87,23228.44
78765.73,23499.95
78222.92,22577.36
77681.99,22505.85
77119.05,23428.20
76583.94,22275.98
75990.53,24710.48
75502.00,20349.02
74922.05,24162.99
74410.38,21324.50
73821.05,24568.27
73265.26,23176.95
